date,airline,delay,cancelled
2004-3-01,Northwest Airlines,540781.0,513.0
2004-3-01,SkyWest Airlines,294198.0,586.0
2004-3-01,Southwest Airlines,898104.0,602.0
2004-3-01,US Airways,366509.0,290.0
2004-3-01,United Air Lines,761405.0,321.0
2004-4-01,ATA Airlines d/b/a ATA,50295.0,19.0
2004-4-01,AirTran Airways,146473.0,22.0
2004-4-01,Alaska Airlines,154989.0,166.0
2004-4-01,America West Airlines,232818.0,294.0
2004-4-01,American Airlines,732062.0,331.0
2004-4-01,American Eagle Airlines,588102.0,755.0
2004-4-01,Atlantic Coast Airlines,400859.0,352.0
2004-4-01,Atlantic Southeast Airlines,187420.0,248.0
2004-4-01,Comair,279070.0,324.0
2004-4-01,Continental Air Lines,385734.0,41.0
2004-4-01,Delta Air Lines,526826.0,350.0
2004-4-01,ExpressJet Airlines,391347.0,214.0
2004-4-01,Hawaiian Airlines,19100.0,8.0
2004-4-01,JetBlue Airways,57919.0,3.0
2004-4-01,Northwest Airlines,410835.0,357.0
2004-4-01,SkyWest Airlines,279757.0,343.0
2004-4-01,Southwest Airlines,1037592.0,369.0
2004-4-01,US Airways,370409.0,127.0
2004-4-01,United Air Lines,477330.0,162.0
2004-5-01,ATA Airlines d/b/a ATA,128926.0,17.0
2004-5-01,AirTran Airways,255733.0,52.0
2004-5-01,Alaska Airlines,180991.0,198.0
2004-5-01,America West Airlines,216297.0,212.0
2004-5-01,American Airlines,1131110.0,1254.0
2004-5-01,American Eagle Airlines,989803.0,2206.0
2004-5-01,Atlantic Coast Airlines,758631.0,961.0
2004-5-01,Atlantic Southeast Airlines,294013.0,368.0
2004-5-01,Comair,450626.0,697.0
2004-5-01,Continental Air Lines,536748.0,247.0
2004-5-01,Delta Air Lines,1072713.0,606.0
2004-5-01,ExpressJet Airlines,647858.0,789.0
2004-5-01,Hawaiian Airlines,15089.0,8.0
2004-5-01,JetBlue Airways,79594.0,2.0
2004-5-01,Northwest Airlines,706172.0,685.0
2004-5-01,SkyWest Airlines,316034.0,515.0
2004-5-01,Southwest Airlines,1319155.0,580.0
2004-5-01,US Airways,477198.0,332.0
2004-5-01,United Air Lines,1183885.0,652.0
2004-6-01,ATA Airlines d/b/a ATA,109612.0,18.0
2004-6-01,AirTran Airways,385059.0,86.0
2004-6-01,Alaska Airlines,307515.0,302.0
2004-6-01,America West Airlines,335811.0,262.0
2004-6-01,American Airlines,1643197.0,644.0
2004-6-01,American Eagle Airlines,1122774.0,1580.0
2004-6-01,Atlantic Coast Airlines,564008.0,637.0
2004-6-01,Atlantic Southeast Airlines,524775.0,840.0
2004-6-01,Comair,488108.0,714.0
2004-6-01,Continental Air Lines,688600.0,114.0
2004-6-01,Delta Air Lines,1478081.0,560.0
2004-6-01,ExpressJet Airlines,769023.0,564.0
2004-6-01,Hawaiian Airlines,19517.0,5.0
2004-6-01,JetBlue Airways,82159.0,0.0
2004-6-01,Northwest Airlines,801795.0,481.0
2004-6-01,SkyWest Airlines,465808.0,510.0
2004-6-01,Southwest Airlines,1669079.0,536.0
2004-6-01,US Airways,658294.0,394.0
2004-6-01,United Air Lines,934436.0,549.0
2004-7-01,ATA Airlines d/b/a ATA,178267.0,58.0
2004-7-01,AirTran Airways,302820.0,157.0
2004-7-01,Alaska Airlines,282004.0,165.0
2004-7-01,America West Airlines,270911.0,258.0
2004-7-01,American Airlines,1456786.0,944.0
2004-7-01,American Eagle Airlines,1040990.0,1819.0
2004-7-01,Atlantic Coast Airlines,715492.0,882.0
2004-7-01,Atlantic Southeast Airlines,418041.0,465.0
2004-7-01,Comair,525945.0,1017.0
2004-7-01,Continental Air Lines,513396.0,148.0
2004-7-01,Delta Air Lines,1087265.0,561.0
2004-7-01,ExpressJet Airlines,670341.0,816.0
2004-7-01,Hawaiian Airlines,12760.0,7.0
2004-7-01,JetBlue Airways,132376.0,2.0
