month,airline,delay
2004-01,America Trans Air,
2004-01,America West,
2004-01,American Airlines,
2004-01,American West,
2004-01,British Airways,
2004-01,China Airlines,
2004-01,Continental Airlines,
2004-01,Delta Air Lines,
2004-01,Frontier Airlines,
2004-01,Hawaiian Airlines,
2004-01,Horizon Air,
2004-01,Jet Blue,
2004-01,KLM Royal Dutch Airlines,
2004-01,Lufthansa,
2004-01,Mexicana,
2004-01,Midway Airlines,
2004-01,Northwest Airlines,
2004-01,Qantus Airways,
2004-01,Scandinavian Airlines Systems,
2004-01,Southwest Airlines,
2004-01,Spirit Airlines,
2004-01,UAL,
2004-01,USAir,
2004-01,Virgin Atlantic,
2004-02,ATA Aerocondor,
2004-02,Aero Mexico,
2004-02,Air Canada,
2004-02,Air France,
2004-02,Air New Zealand,
2004-02,AirTran Airlines,
2004-02,Alaska Airlines,
2004-02,Allegiant Air,
2004-02,Aloha Airlines,
2004-02,America Trans Air,
2004-02,America West,
2004-02,American Airlines,
2004-02,American Eagle,
2004-02,American West,
2004-02,British Airways,
2004-02,Comair,
2004-02,Continental Airlines,
2004-02,Delta (Song,
2004-02,Delta Air Lines,
2004-02,Frontier Airlines,
2004-02,Frontier Aviation,
2004-02,Hawaiian Airlines,
2004-02,Horizon Air,
2004-02,Japan Airlines,
2004-02,Jet Blue,
2004-02,KLM Royal Dutch Airlines,
2004-02,Korean Airlines,
2004-02,Lufthansa,
2004-02,Malaysian Airline System,
2004-02,Northwest Airlines,
2004-02,OMNI Air Express- (OY,
2004-02,Qantus Airways,
2004-02,Singapore Airlines,
2004-02,Southwest Airlines,
2004-02,Spirit Airlines,
2004-02,Sun Country Airlines,
2004-02,Swiss Air,
2004-02,UAL,
2004-02,USAir,
2004-02,Virgin Atlantic,
2004-03,Aero Mexico,
2004-03,Air Canada,
2004-03,Air France,
2004-03,Air New Zealand,
2004-03,Air Pacific,
2004-03,Air Tran Airlines(do not use,
2004-03,AirTran Airlines,
2004-03,Alaska Airlines,
2004-03,Alitalia,
2004-03,Aloha Airlines,
2004-03,America Trans Air,
2004-03,America West,
2004-03,American Airlines,
2004-03,American Eagle,
2004-03,American West,
2004-03,Austrian Airlines,
2004-03,Britannia Airways,
2004-03,British Airways,
2004-03,China Airlines,
2004-03,Continental Airlines,
2004-03,Continental Express,
2004-03,Delta Air Lines,
2004-03,Frontier Airlines,
2004-03,Hawaiian Airlines,
2004-03,Horizon Air,
2004-03,Iceland Air,
2004-03,Indian Airlines,
2004-03,Jet Blue,
2004-03,KLM Royal Dutch Airlines,
2004-03,Korean Airlines,
2004-03,Lan Airlines,
2004-03,Lufthansa,
2004-03,Malaysian Airline System,
2004-03,Midwest Express Airlines,
2004-03,Northwest Airlines,
2004-03,Northwest International Airways,
2004-03,Pakistan International Airlines Cor,
2004-03,Pan American Airways,
2004-03,Qantus Airways,
2004-03,Scandinavian Airlines Systems,
2004-03,Singapore Airlines,
2004-03,Skywest Airlines Inc USA,
2004-03,Southwest Airlines,
2004-03,Spirit Airlines,
2004-03,Sun Jet International Airlines,
2004-03,Swiss Air,
2004-03,Thai Airways,
2004-03,Turkish Airlines,
2004-03,UAL,
2004-03,USA 3000 (U5,
2004-03,USAir,
2004-03,Virgin Atlantic,
2004-04,ATA Aerocondor,
2004-04,Aero Mexico,
2004-04,Air Canada,
2004-04,Air Jamaica,
2004-04,Air Pacific,
2004-04,Air Tran Airlines(do not use,
2004-04,AirTran Airlines,
2004-04,Alaska Airlines,
2004-04,Alitalia,
2004-04,All Nippon Airways,
2004-04,Aloha Airlines,
2004-04,Aloha Islandair,
2004-04,America Trans Air,
2004-04,America West,
2004-04,American Airlines,
2004-04,American Eagle,
2004-04,American West,
2004-04,Austrian Airlines,
2004-04,British Airways,
2004-04,Cape Air,
2004-04,China Airlines,
2004-04,China Eastern Airlines,
2004-04,Commercial Airways,
2004-04,Continental Airlines,
2004-04,Continental Express,
2004-04,Delta (Song,
2004-04,Delta Air Lines,
